trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0352,training,352,0.0010540652247786248,0.00446973228781612,0.005948682732063066,20461274,4361,1.2443526983261108,-0.025075962767004967,-0.025072148069739342,0.41535481810569763,0.22661593556404114
v2-training-0353,training,353,0.0010504116114521541,0.004164433649650497,0.004028138471604415,20461275,3965,1.4833117723464966,-0.018135327845811844,-0.018152296543121338,0.4028738737106323,0.2330687791109085
v2-training-0354,training,354,0.0011916137213914615,0.004791586226743364,0.004951208104816416,20461276,4481,1.335970401763916,-0.017215069383382797,-0.017157036811113358,0.4049832224845886,0.23635493218898773
v2-training-0355,training,355,0.000921946554289242,0.004485483161833137,0.004467969997697363,20461277,4481,1.5506597757339478,-0.015975644811987877,-0.015987753868103027,0.4456179738044739,0.23394116759300232
v2-training-0356,training,356,0.0010606819962834914,0.005581891624952168,0.004968648257278152,20461278,5057,1.576996088027954,-0.021447258070111275,-0.021470878273248672,0.4599051773548126,0.22960668802261353
v2-training-0357,training,357,0.000824888502849399,0.005149577136542019,0.004334436420795057,20461279,4805,1.2956292629241943,-0.01582423783838749,-0.015822716057300568,0.4946499764919281,0.22989578545093536
v2-training-0358,training,358,0.0009291007890845629,0.005193502244615498,0.004667248063723664,20461280,4865,1.3583942651748657,-0.014366122893989086,-0.014440935105085373,0.4699804484844208,0.2222381830215454
v2-training-0359,training,359,0.0009577123090411753,0.004354554501031099,0.005088069689139279,20461281,4217,1.5281001329421997,-0.01796644553542137,-0.018091440200805664,0.4286140501499176,0.23190787434577942
v2-training-0360,training,360,0.0009735857558178481,0.004511621214126726,0.00424897665684204,20461282,4277,1.9155696630477905,-0.023301897570490837,-0.023265860974788666,0.4325619637966156,0.2234073132276535
v2-training-0361,training,361,0.0011599523647982508,0.004168564966967612,0.005707158221086839,20461283,3929,1.505444884300232,-0.03119058720767498,-0.03135456517338753,0.37470847368240356,0.22437994182109833
v2-training-0362,training,362,0.0008781471170082262,0.005689858045497235,0.005137222706618376,20461284,5201,1.4828146696090698,-0.01896282657980919,-0.019161511212587357,0.49727293848991394,0.230802521109581
v2-training-0363,training,363,0.0009681297026816822,0.005147798208256001,0.004575701219878511,20461285,4793,1.8726811408996582,-0.0111220832914114,-0.01113419234752655,0.46046754717826843,0.22588437795639038
v2-training-0364,training,364,0.0011199397500512012,0.004533491004483721,0.005472123835628786,20461286,4349,1.4770212173461914,-0.015468659810721874,-0.01551595889031887,0.41011950373649597,0.22247226536273956
